Field,series,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
,jena_climate_data_4,76.04313685926687,79.3,12.95,100.0,270.92500334047827,87.05,-1.2863756108770244e-06,0.0543834308282967,0.2847958970263898,0.4432171196468802,13.594024568599856,0.0186682891006186,0.0217174825972569,False
,jena_climate_data_5,13.56747331070804,11.82,0.95,63.77,59.75412256171841,62.82,5.533539456594763e-06,0.0477186735085289,0.2714464978325347,0.2689253664507718,26.68659356019909,0.0068446432348544,0.0068589029082603,False
,jena_climate_data_6,9.534043962468626,8.87,0.79,28.32,17.485982949305086,27.53,3.7742529802291873e-06,0.0526931363878264,0.3046928473648186,0.2381704137752778,29.35099094113543,0.0058179467496262,0.0061886982581808,False
,jena_climate_data_7,4.033346475967753,2.18,0.0,46.01,23.90507072676482,46.01,1.7592882831234614e-06,0.055629492519774,0.2917379648642482,0.4007830548087036,16.006025297286342,0.0132044575739067,0.0175774240850637,False
,jena_climate_data_8,6.022553188455397,5.6,0.5,18.13,7.0465062288715785,17.63,2.353455417771098e-06,0.0526371983609945,0.3046025363145486,0.2402634790480879,29.276332729885542,0.0057038693623787,0.0063954635225671,False
,jena_climate_data_9,9.640453979390069,8.97,0.8,28.82,17.91679886988024,28.02,3.756404850255583e-06,0.0525375987876067,0.3041509810631987,0.2399435633693649,29.35715073077369,0.0057228822602532,0.0060199587895438,False
,jena_climate_data_10,1216.096336080691,1213.86,1059.45,1393.54,1595.574256826268,334.0899999999999,-2.6968702408385077e-05,0.0202221908477624,0.1359181306563236,0.2679886154930367,36.465793717728346,0.0064548788284252,0.0068089940513395,False
,jena_climate_data_11,1.7007058521560583,1.76,-9999.0,28.49,4281.0452006541855,10027.49,-4.142299439685024e-06,0.1094654191454102,0.4164789147463685,0.8287070004453803,2.995223346670896,0.1108404413844241,0.1125040699484512,True
,jena_climate_data_12,3.053835938094152,2.96,-9999.0,23.5,4760.853423576551,10022.5,-4.647758761712415e-06,0.1072665250625455,0.4181663054224656,0.8204629131700479,3.1610242975545155,0.0982491497669731,0.104701651983164,True
,jena_climate_data_13,174.7192107764849,198.1,0.0,360.0,7505.737514959459,360.0,7.145703115700517e-06,0.1870685583118829,0.4621311506578446,0.8048914361771345,1.34212781271358,0.1267613667421637,0.1367003591061086,True
